Order Date,Region,Sales Channel,Category,Product Name,Quantity,Unit Price,Total Sales,Profit
2023-01-13,North,In-Store,Office Supplies,Printer Paper,11,21.13,232.43,46.7
2023-01-13,Central,Distributor,Furniture,Desk,14,767.96,10751.44,2767.73
2023-01-13,East,In-Store,Electronics,Monitor,5,246.95,1234.75,420.73
2023-01-13,East,Online,Office Supplies,Binder Pack,13,16.66,216.58,60.7
2023-01-14,East,Online,Furniture,Office Chair,18,371.68,6690.24,2867.21
2023-01-16,Central,Online,Office Supplies,Binder Pack,8,36.94,295.52,135.66
2023-01-16,East,Online,Office Supplies,Printer Paper,13,17.78,231.14,107.06
2023-01-16,North,In-Store,Office Supplies,Printer Paper,5,21.45,107.25,31.77
2023-01-16,East,Distributor,Electronics,Monitor,16,378.6,6057.6,2272.47
2023-01-17,North,Online,Electronics,Smartphone,24,1008.94,24214.56,5969.22
2023-01-17,South,In-Store,Office Supplies,Printer Paper,1,22.44,22.44,5.22
2023-01-17,East,Online,Furniture,Bookshelf,1,102.44,102.44,47.79
2023-01-18,East,In-Store,Office Supplies,Stapler,5,6.5,32.5,14.72
2023-01-19,South,Online,Electronics,Monitor,8,371.37,2970.96,1382.58
2023-01-19,North,Online,Furniture,Bookshelf,4,154.41,617.64,308.69
2023-01-20,Central,In-Store,Furniture,Bookshelf,20,198.3,3966.0,1308.75
2023-01-20,North,In-Store,Office Supplies,Pen Box,6,15.98,95.88,36.94
2023-01-20,East,Online,Furniture,Desk,2,376.13,752.26,336.06
2023-01-21,North,In-Store,Electronics,Laptop,22,1479.86,32556.92,10154.2
2023-01-21,South,Online,Office Supplies,Printer Paper,8,15.8,126.4,41.31
2023-01-21,South,Distributor,Office Supplies,Binder Pack,23,39.32,904.36,203.44
2023-01-22,East,In-Store,Furniture,Desk,1,354.65,354.65,93.28
2023-01-22,North,Distributor,Office Supplies,Pen Box,12,14.04,168.48,49.56
2023-01-22,Central,Online,Furniture,Office Chair,5,444.79,2223.95,877.36
2023-01-23,North,Distributor,Electronics,Headphones,5,124.19,620.95,243.01
2023-01-23,East,In-Store,Furniture,Bookshelf,12,123.5,1482.0,417.92
2023-01-23,North,In-Store,Electronics,Laptop,17,2047.13,34801.21,16235.92
2023-01-24,Central,Online,Furniture,Bookshelf,17,135.53,2304.01,1123.2
2023-01-24,South,Online,Electronics,Headphones,8,124.59,996.72,356.5
2023-01-24,South,In-Store,Office Supplies,Printer Paper,2,15.42,30.84,7.92
2023-01-24,South,Online,Electronics,Monitor,17,295.86,5029.62,1853.13
2023-01-24,West,Online,Electronics,Monitor,9,269.05,2421.45,1153.65
2023-01-24,North,Online,Electronics,Smartphone,23,894.96,20584.08,7670.56
2023-01-24,North,Online,Furniture,Office Chair,14,121.7,1703.8,544.62
2023-01-25,East,Online,Electronics,Headphones,23,142.47,3276.81,1064.04
2023-01-25,North,Online,Electronics,Laptop,9,1354.3,12188.7,5616.16
2023-01-25,West,In-Store,Furniture,Bookshelf,11,86.97,956.67,244.04
2023-01-25,West,Online,Office Supplies,Pen Box,6,7.75,46.5,11.34
2023-01-26,West,Distributor,Electronics,Headphones,22,144.21,3172.62,1006.11
2023-01-26,South,In-Store,Furniture,Desk,11,720.37,7924.07,1614.22
2023-01-26,Central,In-Store,Furniture,Office Chair,4,440.24,1760.96,414.88
2023-01-27,East,Online,Furniture,Desk,6,314.06,1884.36,629.36
2023-01-27,East,Distributor,Office Supplies,Pen Box,22,12.78,281.16,113.78
2023-01-28,Central,Online,Office Supplies,Printer Paper,5,26.29,131.45,63.47
2023-01-28,West,Online,Electronics,Monitor,17,436.86,7426.62,2480.04
2023-01-28,South,Online,Furniture,Bookshelf,15,240.95,3614.25,935.84
2023-01-28,South,Online,Office Supplies,Binder Pack,14,26.57,371.98,141.02
2023-01-28,Central,Online,Office Supplies,Stapler,8,6.22,49.76,22.47
2023-01-28,South,In-Store,Furniture,Desk,24,663.56,15925.44,4285.25
2023-01-29,South,Online,Furniture,Bookshelf,15,224.24,3363.6,1321.64
2023-01-29,North,Distributor,Furniture,Office Chair,11,394.8,4342.8,1348.36
2023-01-30,North,Online,Office Supplies,Stapler,5,13.76,68.8,23.39
2023-01-30,East,Distributor,Electronics,Smartphone,2,693.02,1386.04,670.08
2023-01-30,North,Online,Office Supplies,Binder Pack,16,17.39,278.24,91.6
2023-01-30,South,In-Store,Electronics,Headphones,3,83.82,251.46,92.95
2023-01-30,North,Online,Electronics,Laptop,16,1205.62,19289.92,5654.39
2023-01-31,East,Distributor,Furniture,Desk,15,350.22,5253.3,2030.74
2023-01-31,South,Online,Furniture,Office Chair,12,171.9,2062.8,878.66
2023-01-31,North,Online,Office Supplies,Printer Paper,8,10.62,84.96,27.44
2023-01-31,South,Online,Office Supplies,Printer Paper,7,20.53,143.71,32.6
2023-01-31,South,Distributor,Furniture,Bookshelf,15,217.91,3268.65,1288.92
2023-01-31,South,Distributor,Furniture,Bookshelf,14,98.27,1375.78,379.34
2023-01-31,South,Online,Office Supplies,Stapler,2,12.63,25.26,8.91
2023-02-01,East,In-Store,Furniture,Desk,24,275.54,6612.96,1510.76
2023-02-01,North,Online,Electronics,Laptop,23,2398.81,55172.63,18522.39
2023-02-02,Central,Online,Office Supplies,Printer Paper,20,20.36,407.2,148.13
2023-02-02,East,Online,Furniture,Bookshelf,14,161.42,2259.88,786.94
2023-02-02,East,In-Store,Furniture,Office Chair,5,442.92,2214.6,610.29
2023-02-03,South,In-Store,Electronics,Monitor,7,178.36,1248.52,252.91
2023-02-04,South,Online,Electronics,Laptop,1,2388.3,2388.3,699.35
2023-02-04,North,Distributor,Office Supplies,Stapler,15,14.32,214.8,74.99
2023-02-04,South,Online,Office Supplies,Stapler,2,5.67,11.34,5.19
2023-02-04,South,Online,Office Supplies,Printer Paper,21,19.4,407.4,121.68
2023-02-05,Central,In-Store,Office Supplies,Pen Box,12,6.96,83.52,28.44
2023-02-05,East,In-Store,Furniture,Bookshelf,22,148.99,3277.78,814.54
2023-02-05,Central,Online,Furniture,Desk,14,376.55,5271.7,1961.44
2023-02-05,East,In-Store,Office Supplies,Binder Pack,2,25.08,50.16,17.1
2023-02-06,Central,Online,Office Supplies,Printer Paper,10,29.03,290.3,121.7
2023-02-06,South,In-Store,Electronics,Laptop,12,2227.36,26728.32,7020.14
2023-02-07,West,In-Store,Office Supplies,Printer Paper,21,27.89,585.69,214.12
2023-02-07,South,Distributor,Electronics,Headphones,7,262.99,1840.93,420.73
2023-02-07,South,Online,Furniture,Office Chair,3,493.83,1481.49,514.83
2023-02-07,Central,In-Store,Furniture,Desk,21,486.65,10219.65,4155.97
2023-02-08,North,Online,Furniture,Office Chair,21,122.93,2581.53,855.09
2023-02-08,East,Online,Furniture,Office Chair,5,405.73,2028.65,650.78
2023-02-08,East,In-Store,Office Supplies,Pen Box,21,8.68,182.28,52.61
2023-02-08,Central,In-Store,Furniture,Office Chair,15,103.93,1558.95,711.39
2023-02-09,South,Distributor,Office Supplies,Pen Box,9,19.92,179.28,36.49
2023-02-09,North,In-Store,Furniture,Office Chair,13,144.51,1878.63,632.05
2023-02-10,West,Online,Office Supplies,Stapler,10,5.49,54.9,11.83
2023-02-10,East,In-Store,Office Supplies,Pen Box,14,15.37,215.18,50.57
2023-02-11,Central,Online,Office Supplies,Binder Pack,13,23.63,307.19,140.11
2023-02-11,South,Online,Office Supplies,Pen Box,8,8.67,69.36,32.03
2023-02-12,South,Online,Electronics,Monitor,9,419.71,3777.39,1570.4
2023-02-12,East,In-Store,Electronics,Smartphone,16,938.26,15012.16,6414.18
2023-02-13,North,Online,Furniture,Desk,9,411.27,3701.43,1382.31
2023-02-13,East,In-Store,Furniture,Bookshelf,22,214.41,4717.02,1339.43
2023-02-13,Central,Online,Office Supplies,Stapler,4,6.56,26.24,10.08
2023-02-13,Central,Online,Office Supplies,Pen Box,1,9.0,9.0,2.89
2023-02-13,West,Online,Electronics,Smartphone,16,1072.42,17158.72,4032.44
2023-02-13,Central,In-Store,Office Supplies,Printer Paper,4,12.0,48.0,10.19
2023-02-13,North,In-Store,Furniture,Office Chair,20,338.5,6770.0,2768.18
2023-02-14,West,In-Store,Electronics,Headphones,14,186.47,2610.58,1094.89
2023-02-14,Central,In-Store,Furniture,Desk,2,711.54,1423.08,388.84
2023-02-15,West,In-Store,Electronics,Smartphone,23,545.1,12537.3,5476.31
2023-02-16,North,Online,Office Supplies,Printer Paper,15,12.84,192.6,59.06
2023-02-16,South,Online,Furniture,Bookshelf,3,223.32,669.96,209.78
2023-02-16,East,Online,Electronics,Smartphone,24,813.31,19519.44,8054.86
2023-02-17,North,Online,Office Supplies,Binder Pack,15,24.72,370.8,155.79
2023-02-17,South,Online,Electronics,Smartphone,22,949.1,20880.2,4403.82
2023-02-17,Central,Distributor,Furniture,Bookshelf,15,127.28,1909.2,535.12
2023-02-17,North,Online,Furniture,Desk,19,361.51,6868.69,1383.29
2023-02-17,Central,Distributor,Electronics,Laptop,23,2296.37,52816.51,14323.97
2023-02-18,South,Online,Furniture,Office Chair,4,299.17,1196.68,473.53
2023-02-18,Central,Online,Electronics,Laptop,2,1330.47,2660.94,1001.71
2023-02-18,East,Online,Electronics,Headphones,2,235.76,471.52,230.08
2023-02-18,East,In-Store,Furniture,Desk,21,516.3,10842.3,4771.7
2023-02-19,West,In-Store,Electronics,Smartphone,16,946.45,15143.2,5136.22
2023-02-19,North,Online,Office Supplies,Pen Box,4,5.21,20.84,6.74
2023-02-19,East,In-Store,Office Supplies,Binder Pack,7,34.23,239.61,110.28
2023-02-19,East,Online,Office Supplies,Pen Box,23,9.58,220.34,93.43
2023-02-20,West,In-Store,Furniture,Desk,10,485.24,4852.4,1660.85
2023-02-20,South,Online,Furniture,Bookshelf,2,211.55,423.1,208.65
2023-02-20,South,Online,Furniture,Bookshelf,6,213.08,1278.48,452.91
2023-02-21,South,Online,Office Supplies,Stapler,1,13.51,13.51,5.32
2023-02-21,Central,Online,Furniture,Bookshelf,16,218.59,3497.44,1076.89
2023-02-21,West,In-Store,Office Supplies,Binder Pack,10,38.15,381.5,189.22
2023-02-21,West,Online,Electronics,Laptop,9,2057.66,18518.94,8806.72
2023-02-22,South,Online,Electronics,Laptop,13,852.17,11078.21,3588.76
2023-02-22,South,Online,Office Supplies,Binder Pack,14,22.68,317.52,141.22
2023-02-22,East,In-Store,Electronics,Smartphone,11,980.75,10788.25,2912.75
2023-02-22,East,Online,Office Supplies,Binder Pack,9,22.96,206.64,75.13
2023-02-22,East,Online,Electronics,Monitor,17,358.73,6098.41,1577.93
2023-02-22,Central,Online,Furniture,Office Chair,18,306.56,5518.08,2591.71
2023-02-23,North,In-Store,Office Supplies,Printer Paper,10,15.93,159.3,56.1
2023-02-23,West,In-Store,Office Supplies,Printer Paper,22,10.56,232.32,68.21
2023-02-24,South,Online,Furniture,Bookshelf,17,196.31,3337.27,811.93
2023-02-24,South,In-Store,Furniture,Bookshelf,12,239.11,2869.32,1355.04
2023-02-24,West,Online,Office Supplies,Stapler,22,8.55,188.1,92.15
2023-02-24,East,Online,Furniture,Desk,17,482.33,8199.61,3707.94
2023-02-25,North,Online,Office Supplies,Pen Box,4,17.0,68.0,27.08
2023-02-25,Central,In-Store,Electronics,Smartphone,1,1084.91,1084.91,250.7
2023-02-25,East,In-Store,Furniture,Office Chair,13,256.39,3333.07,882.2
2023-02-25,South,Online,Furniture,Desk,24,703.3,16879.2,5003.87
2023-02-26,North,Online,Office Supplies,Pen Box,3,5.66,16.98,6.39
2023-02-28,South,Online,Electronics,Smartphone,16,1084.99,17359.84,8540.21
2023-03-01,Central,In-Store,Furniture,Desk,13,343.29,4462.77,1288.01
2023-03-01,Central,Online,Office Supplies,Printer Paper,2,28.68,57.36,23.19
2023-03-02,South,Online,Electronics,Monitor,17,343.26,5835.42,2835.74
2023-03-02,East,Online,Office Supplies,Pen Box,8,6.01,48.08,23.24
2023-03-02,West,Online,Office Supplies,Stapler,3,7.33,21.99,4.98
2023-03-02,North,Distributor,Electronics,Smartphone,3,634.91,1904.73,828.93
2023-03-02,South,Online,Electronics,Smartphone,18,1116.32,20093.76,6037.02
2023-03-03,East,Distributor,Office Supplies,Printer Paper,24,19.27,462.48,102.26
2023-03-03,North,In-Store,Electronics,Headphones,21,288.32,6054.72,2016.91
2023-03-03,North,Online,Electronics,Smartphone,18,1052.3,18941.4,9187.0
2023-03-03,North,Online,Electronics,Laptop,9,1775.17,15976.53,6972.66
2023-03-03,Central,In-Store,Furniture,Office Chair,1,466.18,466.18,123.64
2023-03-04,East,Distributor,Electronics,Monitor,5,201.82,1009.1,380.42
2023-03-04,West,Online,Electronics,Headphones,14,135.52,1897.28,628.77
2023-03-04,East,In-Store,Furniture,Office Chair,16,151.78,2428.48,1111.11
2023-03-05,Central,Online,Electronics,Smartphone,1,1173.69,1173.69,518.29
2023-03-05,West,Online,Electronics,Headphones,16,74.44,1191.04,556.38
2023-03-05,South,Online,Office Supplies,Printer Paper,11,14.11,155.21,70.16
2023-03-06,East,In-Store,Furniture,Bookshelf,13,185.04,2405.52,958.8
2023-03-06,Central,Online,Furniture,Office Chair,9,397.33,3575.97,1298.46
2023-03-06,East,In-Store,Furniture,Office Chair,14,358.46,5018.44,1764.22
2023-03-07,South,Online,Electronics,Monitor,22,272.58,5996.76,2977.05
2023-03-07,West,Online,Furniture,Desk,18,749.19,13485.42,6029.0
2023-03-07,West,In-Store,Electronics,Laptop,14,1384.09,19377.26,8499.02
2023-03-07,East,Online,Electronics,Monitor,15,464.61,6969.15,3010.31
2023-03-08,East,Distributor,Office Supplies,Binder Pack,23,38.62,888.26,337.12
2023-03-08,West,Online,Electronics,Monitor,15,308.6,4629.0,1829.67
2023-03-08,South,Online,Office Supplies,Printer Paper,13,18.68,242.84,50.14
2023-03-08,East,Online,Furniture,Bookshelf,5,226.51,1132.55,439.63
2023-03-08,North,Online,Furniture,Desk,23,521.66,11998.18,5177.68
2023-03-09,West,In-Store,Office Supplies,Printer Paper,15,10.64,159.6,67.8
2023-03-09,West,Distributor,Electronics,Laptop,3,2021.53,6064.59,2641.06
2023-03-09,North,Online,Electronics,Headphones,19,245.3,4660.7,1167.1
2023-03-09,Central,In-Store,Electronics,Smartphone,10,619.36,6193.6,1296.88
2023-03-10,Central,Online,Office Supplies,Binder Pack,23,28.29,650.67,227.58
2023-03-10,South,Online,Furniture,Bookshelf,4,204.78,819.12,210.4
2023-03-10,East,Online,Office Supplies,Stapler,2,9.04,18.08,6.69
2023-03-11,East,Online,Office Supplies,Pen Box,5,10.23,51.15,12.23
2023-03-11,Central,Online,Furniture,Desk,4,715.53,2862.12,650.47
2023-03-11,Central,In-Store,Office Supplies,Stapler,13,11.79,153.27,69.43
2023-03-11,Central,In-Store,Electronics,Laptop,9,2239.35,20154.15,9945.85
2023-03-11,South,Online,Furniture,Desk,6,586.09,3516.54,1041.98
2023-03-12,West,Online,Electronics,Monitor,15,340.94,5114.1,1091.04
2023-03-12,West,In-Store,Furniture,Desk,1,606.87,606.87,160.37
2023-03-13,North,In-Store,Office Supplies,Binder Pack,24,34.52,828.48,282.0
2023-03-14,South,Online,Furniture,Bookshelf,12,84.55,1014.6,501.19
2023-03-14,West,Online,Office Supplies,Pen Box,7,16.56,115.92,51.17
2023-03-14,West,Online,Electronics,Monitor,2,352.33,704.66,149.07
2023-03-15,North,In-Store,Office Supplies,Stapler,24,9.92,238.08,86.95
2023-03-15,North,Online,Office Supplies,Stapler,14,12.2,170.8,61.34
2023-03-16,West,In-Store,Furniture,Desk,10,315.05,3150.5,1238.66
2023-03-16,South,Online,Furniture,Office Chair,21,246.94,5185.74,1617.29
2023-03-16,West,Online,Office Supplies,Pen Box,15,10.09,151.35,52.1
2023-03-17,East,In-Store,Furniture,Desk,19,667.73,12686.87,4670.2
2023-03-18,South,In-Store,Electronics,Laptop,14,1719.21,24068.94,11036.64
2023-03-18,East,In-Store,Furniture,Desk,18,770.06,13861.08,4513.99
2023-03-18,West,Online,Furniture,Desk,13,387.93,5043.09,2386.53
2023-03-19,North,Distributor,Office Supplies,Binder Pack,14,24.81,347.34,132.96
2023-03-19,South,Online,Electronics,Smartphone,13,1089.08,14158.04,5244.76
2023-03-19,West,In-Store,Electronics,Smartphone,3,865.85,2597.55,1007.64
2023-03-19,South,In-Store,Electronics,Laptop,2,806.94,1613.88,770.96
2023-03-20,South,In-Store,Furniture,Office Chair,1,404.11,404.11,157.09
2023-03-20,Central,In-Store,Electronics,Headphones,15,109.18,1637.7,476.89
2023-03-20,East,In-Store,Office Supplies,Stapler,8,10.73,85.84,34.45
2023-03-20,Central,In-Store,Furniture,Bookshelf,5,227.0,1135.0,513.14
2023-03-21,North,Online,Electronics,Laptop,1,1727.68,1727.68,624.12
2023-03-21,East,Online,Electronics,Smartphone,4,458.77,1835.08,718.1
2023-03-21,South,Online,Furniture,Desk,19,684.72,13009.68,6345.26
2023-03-21,West,Online,Electronics,Headphones,10,226.13,2261.3,470.5
2023-03-21,East,Online,Furniture,Bookshelf,12,86.07,1032.84,260.27
2023-03-22,East,Online,Furniture,Office Chair,19,165.69,3148.11,1233.53
2023-03-22,Central,Online,Office Supplies,Binder Pack,11,20.69,227.59,92.17
2023-03-22,North,Online,Electronics,Monitor,18,169.28,3047.04,958.6
2023-03-22,East,In-Store,Office Supplies,Stapler,19,5.94,112.86,48.72
2023-03-22,North,Online,Office Supplies,Stapler,8,6.78,54.24,26.23
2023-03-22,South,Distributor,Office Supplies,Stapler,17,13.37,227.29,72.12
2023-03-23,South,Online,Electronics,Smartphone,21,897.82,18854.22,7143.6
2023-03-23,South,Online,Electronics,Headphones,3,260.52,781.56,159.23
2023-03-23,Central,Distributor,Furniture,Office Chair,12,137.68,1652.16,571.8
2023-03-24,Central,In-Store,Furniture,Bookshelf,10,140.84,1408.4,573.88
2023-03-24,South,Online,Furniture,Office Chair,7,116.91,818.37,188.86
2023-03-25,East,In-Store,Electronics,Laptop,2,876.15,1752.3,537.51
2023-03-25,North,Distributor,Office Supplies,Printer Paper,6,17.82,106.92,40.23
2023-03-25,East,Online,Furniture,Bookshelf,8,212.08,1696.64,512.16
2023-03-25,Central,In-Store,Furniture,Office Chair,1,346.52,346.52,151.81
2023-03-25,East,Online,Office Supplies,Printer Paper,20,26.98,539.6,186.01
2023-03-25,East,Distributor,Electronics,Smartphone,2,1149.27,2298.54,777.47
2023-03-26,North,Online,Electronics,Smartphone,10,990.88,9908.8,4365.81
2023-03-26,East,Online,Electronics,Monitor,8,278.47,2227.76,541.39
2023-03-26,Central,Online,Office Supplies,Stapler,9,12.9,116.1,44.33
2023-03-26,Central,Online,Electronics,Monitor,6,436.18,2617.08,548.2
2023-03-27,East,Online,Office Supplies,Binder Pack,22,30.2,664.4,331.92
2023-03-27,Central,Online,Electronics,Smartphone,5,667.0,3335.0,1240.79
2023-03-27,Central,In-Store,Office Supplies,Stapler,19,9.7,184.3,47.57
2023-03-28,East,Online,Furniture,Bookshelf,16,232.76,3724.16,1578.03
2023-03-28,Central,Online,Office Supplies,Binder Pack,10,30.94,309.4,126.37
2023-03-28,South,Online,Furniture,Bookshelf,15,208.32,3124.8,1300.43
2023-03-28,West,Online,Office Supplies,Stapler,4,7.35,29.4,14.09
2023-03-28,North,Online,Furniture,Desk,14,316.23,4427.22,1031.63
2023-03-29,Central,Online,Furniture,Desk,9,241.67,2175.03,754.94
2023-03-29,Central,In-Store,Office Supplies,Stapler,21,14.66,307.86,77.61
2023-03-30,South,Online,Office Supplies,Stapler,1,10.41,10.41,4.87
2023-03-30,Central,Online,Office Supplies,Pen Box,11,5.0,55.0,15.82
2023-03-30,East,Online,Electronics,Laptop,10,2378.61,23786.1,11507.33
2023-03-30,Central,Online,Office Supplies,Pen Box,5,17.63,88.15,30.85
2023-03-30,Central,Distributor,Electronics,Monitor,2,318.32,636.64,281.91
2023-03-30,North,Online,Furniture,Office Chair,8,144.11,1152.88,537.72
2023-03-31,South,Online,Furniture,Office Chair,21,250.61,5262.81,1341.59
2023-03-31,East,Online,Office Supplies,Binder Pack,16,22.27,356.32,119.87
2023-03-31,North,In-Store,Electronics,Headphones,21,234.31,4920.51,1959.56
2023-03-31,North,Online,Office Supplies,Printer Paper,12,24.98,299.76,97.03
2023-03-31,North,Online,Office Supplies,Binder Pack,23,25.96,597.08,215.05
2023-04-01,Central,Online,Office Supplies,Binder Pack,3,24.01,72.03,16.68
2023-04-01,Central,Online,Office Supplies,Pen Box,21,12.33,258.93,116.0
2023-04-01,South,In-Store,Electronics,Smartphone,8,539.15,4313.2,1838.03
2023-04-01,East,Distributor,Furniture,Office Chair,14,305.46,4276.44,1645.1
2023-04-02,Central,In-Store,Electronics,Smartphone,12,475.22,5702.64,2009.83
2023-04-02,South,Online,Furniture,Desk,11,544.38,5988.18,2498.16
2023-04-02,North,Distributor,Electronics,Laptop,1,2146.34,2146.34,770.0
2023-04-03,South,In-Store,Office Supplies,Pen Box,20,13.21,264.2,71.09
2023-04-03,North,In-Store,Electronics,Smartphone,19,438.85,8338.15,3297.69
2023-04-03,West,Online,Office Supplies,Binder Pack,16,29.24,467.84,204.4
2023-04-04,West,Online,Electronics,Smartphone,11,638.36,7021.96,2181.52
2023-04-04,South,In-Store,Office Supplies,Stapler,6,13.96,83.76,40.26
2023-04-04,South,In-Store,Furniture,Bookshelf,7,208.71,1460.97,335.85
2023-04-04,West,Online,Office Supplies,Stapler,24,11.15,267.6,120.35
2023-04-04,South,Online,Electronics,Headphones,4,263.09,1052.36,345.63
2023-04-04,Central,Online,Electronics,Smartphone,9,590.64,5315.76,2632.46
2023-04-05,North,In-Store,Electronics,Headphones,12,183.32,2199.84,729.84
2023-04-05,Central,Online,Furniture,Office Chair,12,183.78,2205.36,841.75
2023-04-05,West,Distributor,Electronics,Headphones,12,203.57,2442.84,735.77
2023-04-05,South,Distributor,Furniture,Desk,12,326.12,3913.44,1039.22
2023-04-06,West,In-Store,Furniture,Desk,21,317.34,6664.14,3125.58
2023-04-06,West,In-Store,Office Supplies,Pen Box,3,9.83,29.49,9.01
2023-04-06,West,Online,Electronics,Smartphone,22,859.3,18904.6,5301.94
2023-04-06,North,In-Store,Office Supplies,Stapler,5,11.61,58.05,18.96
2023-04-06,Central,Online,Electronics,Smartphone,1,485.55,485.55,201.43
2023-04-06,West,Online,Furniture,Desk,16,790.08,12641.28,3760.79
2023-04-06,East,Online,Electronics,Monitor,3,446.13,1338.39,399.18
2023-04-07,West,In-Store,Office Supplies,Stapler,11,12.61,138.71,31.19
2023-04-07,East,In-Store,Electronics,Smartphone,14,929.78,13016.92,4599.6
2023-04-07,South,Online,Office Supplies,Pen Box,16,5.7,91.2,28.87
2023-04-07,North,In-Store,Furniture,Office Chair,5,266.37,1331.85,580.93
2023-04-07,North,Online,Office Supplies,Pen Box,14,14.52,203.28,46.23
2023-04-07,East,Online,Furniture,Desk,10,434.68,4346.8,1840.48
2023-04-08,Central,Online,Office Supplies,Stapler,3,11.0,33.0,7.79
2023-04-08,South,In-Store,Electronics,Monitor,12,425.24,5102.88,1893.98
2023-04-08,Central,In-Store,Electronics,Headphones,7,167.06,1169.42,456.41
2023-04-09,Central,Distributor,Office Supplies,Stapler,1,5.88,5.88,2.57
2023-04-09,South,In-Store,Office Supplies,Pen Box,6,9.73,58.38,13.95
2023-04-09,West,In-Store,Electronics,Headphones,17,108.21,1839.57,874.82
2023-04-09,West,Online,Electronics,Smartphone,14,557.98,7811.72,1951.41
2023-04-09,West,Distributor,Furniture,Desk,12,489.33,5871.96,2671.48
2023-04-09,East,Online,Furniture,Office Chair,10,409.11,4091.1,982.54
2023-04-09,East,In-Store,Furniture,Bookshelf,1,159.65,159.65,76.71
2023-04-09,South,In-Store,Furniture,Desk,9,351.4,3162.6,1460.74
2023-04-10,South,Online,Furniture,Desk,20,626.77,12535.4,4229.14
2023-04-10,East,Online,Furniture,Bookshelf,4,215.35,861.4,421.03
2023-04-10,East,Online,Electronics,Laptop,19,1401.33,26625.27,6285.83
2023-04-11,North,Online,Electronics,Laptop,9,863.41,7770.69,3144.53
2023-04-12,North,Online,Office Supplies,Printer Paper,6,24.61,147.66,55.47
2023-04-12,South,Online,Furniture,Office Chair,4,487.42,1949.68,593.39
2023-04-12,Central,In-Store,Office Supplies,Stapler,23,10.83,249.09,95.1
2023-04-13,South,In-Store,Office Supplies,Binder Pack,7,39.37,275.59,110.88
2023-04-13,North,In-Store,Furniture,Bookshelf,14,161.02,2254.28,807.07
2023-04-14,North,Distributor,Furniture,Bookshelf,13,110.48,1436.24,660.89
2023-04-15,West,In-Store,Furniture,Office Chair,24,222.88,5349.12,1337.26
2023-04-16,West,Online,Electronics,Monitor,22,299.16,6581.52,2038.46
2023-04-16,Central,Online,Electronics,Laptop,20,1880.82,37616.4,9831.33
2023-04-16,East,In-Store,Office Supplies,Stapler,24,13.66,327.84,99.79
